                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5028,                 21.012,                 3.9289,                      0,                      0,                      0,                      0,                 6.0499,                 27.174,                 4.1391,             0.00036481,             0.00036481,             0.00036481
                      2,                 4.5026,                 10.976,                 3.1476,                  7e-05,                0.00517,                  4e-05,                  1e-05,                 4.3056,                 15.686,                 3.0451,             0.00072058,             0.00072058,             0.00072058
                      3,                 3.6593,                   6.96,                 2.4218,                0.67882,                0.08527,                0.00827,                0.00215,                 3.1685,                 11.986,                 2.1883,              0.0010617,              0.0010617,              0.0010617
                      4,                 3.4216,                 6.2595,                 2.1919,                0.35669,                0.10259,                0.01435,                0.00399,                 3.1345,                  9.466,                 2.0884,               0.001045,               0.001045,               0.001045
                      5,                 3.2656,                 5.0544,                 2.0122,                0.48102,                0.15461,                0.03958,                0.01084,                 3.1193,                 8.7895,                 2.0339,               0.001045,               0.001045,               0.001045
                      6,                 3.1559,                 4.5105,                 1.9428,                 0.3656,                0.06202,                0.03739,                0.01069,                 2.8734,                 8.8436,                 1.9248,               0.001023,               0.001023,               0.001023
                      7,                 3.0645,                  4.031,                 1.8478,                0.45185,                 0.1063,                0.06108,                0.02248,                 2.8011,                 5.4257,                 1.7902,               0.001001,               0.001001,               0.001001
                      8,                 2.9212,                 3.4749,                 1.7729,                0.11931,                0.12913,                 0.0719,                0.02027,                 2.7886,                 5.1986,                 1.7887,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.8578,                  3.393,                 1.7749,                0.44939,                0.09185,                0.06941,                0.02072,                 2.7321,                 4.3763,                 1.7669,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.8448,                 3.1774,                 1.7431,                0.44338,                0.13448,                0.08361,                0.02878,                 2.7457,                 4.5743,                 1.7168,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.7914,                 2.9497,                 1.7086,                0.47856,                0.12654,                0.08934,                  0.031,                   2.58,                  3.842,                 1.7204,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.7505,                 2.8693,                  1.646,                0.48299,                0.13869,                0.10391,                0.03259,                 2.5802,                 3.4276,                 1.6906,             0.00089102,             0.00089102,             0.00089102
