                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5028,                 21.012,                 3.9289,                      0,                      0,                      0,                      0,                 6.2406,                 38.013,                 4.1383,             0.00036481,             0.00036481,             0.00036481
                      2,                 4.4881,                  10.98,                 3.1333,                      0,                      0,                      0,                      0,                 4.9192,                 20.851,                 3.2722,             0.00072786,             0.00072786,             0.00072786
                      3,                 3.6386,                 7.0157,                 2.3816,                0.34715,                0.01878,                0.00588,                0.00172,                  3.314,                 8.7807,                 2.1067,              0.0010836,              0.0010836,              0.0010836
                      4,                 3.4371,                 6.2533,                 2.1832,                0.36296,                0.15764,                0.00745,                0.00222,                  3.269,                 18.874,                 1.9765,               0.001078,               0.001078,               0.001078
                      5,                 3.2636,                 5.0111,                 1.9761,                0.38696,                0.04903,                0.01939,                 0.0065,                 3.2973,                 6.5471,                 1.8946,               0.001078,               0.001078,               0.001078
                      6,                 3.1464,                 4.3856,                 1.9134,                0.42686,                 0.0772,                0.03884,                0.01181,                  3.263,                 5.6804,                 1.8822,               0.001067,               0.001067,               0.001067
                      7,                 3.0291,                 3.8294,                 1.8237,                 0.4504,                0.09473,                0.05688,                0.01599,                 2.9482,                 4.2351,                 1.6822,               0.001056,               0.001056,               0.001056
                      8,                 2.9191,                 3.4155,                 1.7751,                0.44178,                0.11288,                0.07481,                0.02189,                 2.8998,                 4.3417,                 1.6317,               0.001045,               0.001045,               0.001045
                      9,                  2.826,                 3.2821,                 1.7657,                0.43778,                0.08002,                0.06192,                0.01977,                 2.8165,                 3.7806,                 1.6021,               0.001034,               0.001034,               0.001034
                     10,                 2.8433,                   3.16,                 1.7208,                0.44749,                0.15462,                 0.0908,                0.02879,                   2.69,                 3.3773,                 1.5554,               0.001023,               0.001023,               0.001023
                     11,                 2.7811,                 2.9022,                 1.6846,                0.24935,                0.17991,                0.09929,                0.03072,                 2.7581,                 3.1165,                 1.5743,               0.001012,               0.001012,               0.001012
