                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3594,                 9.0514,                 4.0668,                      0,                      0,                      0,                      0,                 4.1793,                 10.539,                 4.0216,             0.00036481,             0.00036481,             0.00036481
                      2,                 3.7848,                 7.3846,                 3.4252,                      0,                      0,                      0,                      0,                 4.7716,                 14.276,                 4.7824,             0.00072786,             0.00072786,             0.00072786
                      3,                 3.2065,                 6.2299,                 2.9178,                0.35773,                0.03756,                0.01013,                0.00268,                 3.1157,                 9.2543,                 2.5546,              0.0010836,              0.0010836,              0.0010836
                      4,                 2.9686,                 5.3841,                 2.5728,                0.39199,                 0.0904,                0.03763,                0.01072,                 2.7422,                  12.64,                 2.2638,               0.001078,               0.001078,               0.001078
                      5,                 2.8129,                 4.3552,                 2.3395,                0.43666,                0.15232,                0.04619,                0.01356,                 2.6346,                 4.7643,                 2.1734,               0.001078,               0.001078,               0.001078
                      6,                 2.7576,                  4.057,                 2.2406,                0.42273,                 0.0952,                0.06626,                0.02068,                 2.5117,                 4.0527,                 2.0744,               0.001067,               0.001067,               0.001067
                      7,                 2.6784,                 3.5975,                 2.1459,                0.45784,                0.18252,                0.11093,                0.03348,                 2.4788,                 3.6418,                 1.9951,               0.001056,               0.001056,               0.001056
                      8,                  2.587,                  3.288,                 2.1357,                0.12207,                0.19807,                0.10912,                0.04035,                 2.3809,                 3.4691,                 1.9045,               0.001045,               0.001045,               0.001045
                      9,                 2.5162,                 3.2412,                 2.0786,                0.49586,                0.17632,                0.12731,                0.04406,                 2.2848,                 3.0479,                 1.8363,               0.001034,               0.001034,               0.001034
                     10,                 2.4939,                 3.0874,                 2.0478,                0.50162,                 0.2145,                0.14102,                0.04544,                 2.3381,                 3.0856,                 1.8372,               0.001023,               0.001023,               0.001023
                     11,                 2.4815,                 2.9218,                 2.0461,                 0.1311,                0.21064,                0.14139,                0.05276,                 2.3297,                 2.8481,                  1.853,               0.001012,               0.001012,               0.001012
                     12,                 2.4717,                 2.8674,                 2.0344,                0.19023,                 0.1988,                 0.1508,                0.05469,                 2.1978,                 2.6267,                 1.8202,               0.001001,               0.001001,               0.001001
                     13,                 2.4081,                 2.7745,                 1.9596,                 0.2187,                0.23083,                0.20156,                0.08479,                 2.1884,                 2.5348,                 1.8218,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.3853,                 2.7243,                  1.951,                0.19817,                0.20829,                0.21095,                0.08449,                  2.167,                 2.6411,                 1.7154,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.3511,                 2.5955,                 1.9752,                 0.5782,                0.21192,                0.20827,                0.08321,                 2.1589,                 2.5126,                  1.743,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.3339,                 2.6222,                 1.8996,                 0.3681,                0.28153,                0.22024,                0.08474,                 2.1225,                 2.4291,                 1.7836,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.3056,                 2.4916,                 1.9123,                0.29354,                0.26072,                0.22472,                0.09341,                 2.1165,                 2.2782,                 1.7504,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.2787,                 2.5215,                 1.8679,                0.22938,                0.19275,                0.19064,                0.08272,                 2.1596,                  2.483,                 1.7833,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.2633,                  2.416,                 1.8614,                0.19987,                 0.2927,                0.21041,                 0.0915,                 2.0549,                 2.2346,                 1.6995,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.2199,                 2.4397,                 1.8428,                0.37948,                0.23985,                0.23345,                 0.0957,                   2.08,                 2.3549,                 1.7594,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.2201,                  2.407,                  1.871,                0.26517,                0.22436,                0.21493,                0.09449,                 2.0293,                 2.2452,                 1.6991,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.1766,                 2.3135,                 1.7996,                0.24754,                0.30135,                0.24312,                0.10393,                 1.9877,                 2.2741,                 1.6687,             0.00089102,             0.00089102,             0.00089102
                     23,                 2.2031,                 2.2878,                 1.8312,                0.27074,                0.24361,                0.25714,                0.11281,                 1.9976,                 2.0483,                  1.644,             0.00088002,             0.00088002,             0.00088002
                     24,                 2.2156,                 2.3092,                 1.8113,                0.22948,                0.26609,                0.25784,                0.11248,                 2.0087,                 2.1483,                 1.6847,             0.00086902,             0.00086902,             0.00086902
                     25,                  2.192,                 2.3062,                 1.8222,                0.27162,                0.27413,                 0.2641,                0.11167,                  2.002,                 1.9873,                 1.6415,             0.00085803,             0.00085803,             0.00085803
                     26,                 2.1825,                 2.2474,                   1.84,                0.32988,                0.31687,                0.27005,                0.12526,                 2.0405,                 2.0369,                 1.6959,             0.00084703,             0.00084703,             0.00084703
