                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2552,                 9.0596,                 4.0035,                      0,                      0,                      0,                      0,                  4.137,                 11.911,                 4.1909,             0.00036481,             0.00036481,             0.00036481
                      2,                 3.6901,                 6.9257,                  3.232,                      0,                      0,                      0,                      0,                 4.5424,                 12.171,                 4.5674,             0.00072058,             0.00072058,             0.00072058
                      3,                 3.1818,                 5.6862,                 2.6829,                0.36011,                0.06237,                0.01659,                0.00673,                 2.8402,                 10.335,                  2.564,              0.0010617,              0.0010617,              0.0010617
                      4,                 2.9954,                  4.876,                 2.4635,                0.38056,                0.10803,                0.04082,                0.01272,                 2.6637,                  10.13,                 2.2406,               0.001045,               0.001045,               0.001045
                      5,                 2.8581,                 4.0272,                 2.3173,                0.02984,                0.09458,                0.01767,                0.00576,                 2.5587,                 25.512,                 2.1651,               0.001045,               0.001045,               0.001045
                      6,                 2.7544,                 3.7448,                 2.1591,                0.47219,                0.09794,                0.06326,                0.02109,                 2.5545,                 4.8779,                 2.1698,               0.001023,               0.001023,               0.001023
                      7,                 2.6893,                 3.3986,                 2.1236,                0.44855,                0.13231,                0.16255,                0.06312,                 2.3533,                 4.1594,                 1.9956,               0.001001,               0.001001,               0.001001
                      8,                 2.5976,                 3.0844,                 2.0775,                0.32015,                0.27271,                0.19608,                 0.0872,                 2.3453,                 4.4348,                 2.0162,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.5337,                 3.0202,                 2.0565,                0.44559,                0.14403,                0.14917,                0.06909,                 2.3114,                 3.8623,                 1.9546,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.5221,                 2.9109,                 2.0023,                0.50396,                0.15781,                0.20586,                0.09381,                 2.3528,                 4.9944,                 2.0151,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.4981,                 2.7738,                 2.0034,                0.44102,                 0.1853,                0.20939,                0.07623,                 2.3112,                 3.3763,                 1.9299,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.4454,                 2.6873,                 1.9351,                0.33202,                0.24221,                0.22191,                0.10487,                 2.3618,                 3.1123,                 1.9455,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.4016,                 2.6534,                 1.9039,                0.33555,                 0.3356,                 0.2379,                0.10836,                 2.2598,                 3.2237,                 1.9139,             0.00086902,             0.00086902,             0.00086902
                     14,                 2.3691,                 2.5634,                 1.8887,                0.27423,                0.33164,                0.24308,                0.11767,                 2.1667,                 3.1754,                  1.799,             0.00084703,             0.00084703,             0.00084703
                     15,                 2.3515,                 2.4873,                  1.903,                0.44276,                0.31942,                0.27569,                 0.1439,                 2.1568,                 3.1884,                 1.8614,             0.00082503,             0.00082503,             0.00082503
                     16,                 2.2889,                 2.4337,                 1.7902,                0.32784,                0.49923,                0.31754,                0.16311,                  2.046,                 2.7993,                 1.7814,             0.00080303,             0.00080303,             0.00080303
                     17,                 2.2891,                 2.3766,                 1.8311,                0.34564,                0.31058,                0.31077,                0.15918,                 2.0926,                 2.7177,                  1.813,             0.00078103,             0.00078103,             0.00078103
                     18,                 2.2576,                 2.3926,                 1.7893,                0.30575,                0.34916,                0.30324,                 0.1474,                 2.1495,                 2.9217,                 1.8335,             0.00075904,             0.00075904,             0.00075904
                     19,                 2.2203,                 2.2645,                 1.7679,                0.37272,                0.30273,                0.30561,                 0.1303,                 2.0768,                 2.7851,                 1.7686,             0.00073704,             0.00073704,             0.00073704
                     20,                 2.1978,                 2.2752,                 1.7395,                0.34048,                0.46529,                0.32607,                0.15135,                 2.0276,                 2.6897,                 1.7029,             0.00071504,             0.00071504,             0.00071504
                     21,                  2.207,                 2.2301,                 1.7472,                0.29118,                0.36049,                0.27214,                0.13262,                 2.0364,                 2.6454,                 1.7556,             0.00069304,             0.00069304,             0.00069304
                     22,                 2.1395,                 2.1731,                 1.7007,                0.36146,                0.46159,                0.34724,                0.17056,                 1.9998,                 2.7575,                 1.7241,             0.00067104,             0.00067104,             0.00067104
                     23,                 2.1665,                 2.1704,                 1.7485,                 0.3173,                0.46346,                0.34015,                0.16668,                 2.0606,                 2.5059,                 1.8089,             0.00064905,             0.00064905,             0.00064905
                     24,                 2.1308,                 2.1276,                 1.7055,                 0.3531,                0.41253,                0.34022,                0.15779,                  2.008,                 2.8945,                 1.7107,             0.00062705,             0.00062705,             0.00062705
                     25,                 2.1281,                 2.1545,                 1.7021,                0.51008,                0.40543,                0.39973,                0.19783,                  2.004,                 2.7311,                 1.7314,             0.00060505,             0.00060505,             0.00060505
                     26,                 2.1452,                  2.161,                 1.7313,                0.38819,                0.44776,                0.34437,                 0.1608,                 2.0556,                 2.7314,                  1.771,             0.00058305,             0.00058305,             0.00058305
                     27,                 2.1246,                 2.1438,                 1.7278,                0.32181,                0.38967,                0.29178,                0.13911,                 2.0284,                 2.5088,                 1.7895,             0.00056105,             0.00056105,             0.00056105
                     28,                 2.0665,                 2.1062,                 1.6731,                 0.3465,                0.40174,                0.33884,                0.17998,                 2.0066,                 2.5289,                 1.7438,             0.00053906,             0.00053906,             0.00053906
                     29,                 2.0709,                 2.1015,                 1.6762,                0.47388,                0.41042,                0.38179,                0.19474,                 1.9482,                 2.4999,                 1.7158,             0.00051706,             0.00051706,             0.00051706
                     30,                 2.0585,                 2.0489,                 1.6681,                0.44506,                0.42341,                  0.402,                0.19689,                  1.982,                 2.4354,                 1.7125,             0.00049506,             0.00049506,             0.00049506
                     31,                 2.0616,                 2.0281,                 1.6436,                0.33745,                0.48253,                0.38802,                0.20739,                 2.0078,                 2.2575,                 1.7305,             0.00047306,             0.00047306,             0.00047306
                     32,                 2.0576,                 1.9988,                 1.6678,                0.38314,                 0.4012,                0.40814,                 0.2249,                 2.0285,                 2.3577,                 1.7677,             0.00045107,             0.00045107,             0.00045107
                     33,                 2.0577,                 2.0299,                 1.6557,                0.32673,                0.38185,                   0.31,                0.14988,                 1.9542,                 2.3913,                 1.6958,             0.00042907,             0.00042907,             0.00042907
                     34,                 2.0263,                 1.9928,                 1.6311,                0.36918,                0.41835,                0.37416,                0.19204,                 1.9136,                 2.4027,                 1.6899,             0.00040707,             0.00040707,             0.00040707
                     35,                  1.987,                 1.9783,                 1.6141,                0.41975,                0.43842,                0.37859,                0.20124,                 1.8944,                 2.5634,                 1.6665,             0.00038507,             0.00038507,             0.00038507
                     36,                 2.0065,                  2.018,                 1.6247,                0.43755,                0.40251,                0.37732,                0.20387,                 1.8666,                 2.4636,                 1.6458,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.9889,                 1.9419,                 1.6146,                 0.3933,                0.43655,                0.38385,                0.20161,                 1.9003,                 2.3421,                 1.6602,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.9762,                 1.8381,                 1.5808,                0.38707,                 0.4741,                0.39313,                0.20267,                 1.9002,                 2.3357,                 1.6555,             0.00031908,             0.00031908,             0.00031908
