                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2552,                 9.0596,                 4.0035,                      0,                      0,                      0,                      0,                 4.3445,                 11.796,                 4.1934,             0.00036481,             0.00036481,             0.00036481
                      2,                 3.6779,                 6.8145,                 3.2434,                      0,                      0,                      0,                      0,                 4.5522,                   12.1,                 4.4224,             0.00072786,             0.00072786,             0.00072786
                      3,                 3.1948,                 5.7057,                 2.7042,                0.39721,                0.04126,                0.01399,                0.00365,                 3.0084,                 11.612,                 2.4659,              0.0010836,              0.0010836,              0.0010836
                      4,                 2.9693,                 4.8844,                 2.4653,                0.37821,                0.14687,                0.02893,                0.00846,                 2.7613,                  21.67,                 2.2739,               0.001078,               0.001078,               0.001078
                      5,                 2.8591,                 4.0563,                 2.3365,                0.09543,                0.14361,                0.07225,                0.02275,                 2.5857,                 4.6115,                 2.0465,               0.001078,               0.001078,               0.001078
                      6,                 2.7701,                 3.7422,                 2.1656,                0.45053,                0.14439,                0.08333,                0.02605,                 2.6497,                  3.682,                 2.0139,               0.001067,               0.001067,               0.001067
                      7,                 2.7039,                 3.3813,                 2.0931,                 0.1238,                0.18524,                0.09799,                0.03281,                  2.492,                 3.4753,                 1.9179,               0.001056,               0.001056,               0.001056
                      8,                 2.5829,                 3.0891,                 2.0528,                0.12317,                0.18832,                0.13086,                0.04548,                 2.3815,                 3.1827,                 1.8449,               0.001045,               0.001045,               0.001045
                      9,                 2.5409,                 2.9962,                 2.0167,                0.49607,                0.19009,                0.13316,                 0.0515,                 2.3733,                  3.079,                 1.8287,               0.001034,               0.001034,               0.001034
                     10,                 2.5008,                 2.8801,                 1.9633,                0.16244,                0.20775,                0.13713,                0.04998,                 2.3455,                 2.8391,                 1.7917,               0.001023,               0.001023,               0.001023
                     11,                 2.4821,                 2.7002,                 1.9335,                0.18304,                0.21347,                0.15622,                0.06229,                 2.2637,                 2.6831,                 1.6688,               0.001012,               0.001012,               0.001012
                     12,                 2.4726,                 2.6681,                 1.9177,                0.15189,                0.24637,                0.15394,                0.06049,                 2.3266,                 2.5331,                 1.7735,               0.001001,               0.001001,               0.001001
                     13,                 2.3874,                 2.5896,                 1.8729,                0.18936,                0.25832,                0.19427,                0.07499,                 2.2472,                  2.405,                 1.7368,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.3775,                   2.56,                 1.8677,                 0.1962,                0.28341,                0.21725,                0.09242,                 2.1266,                 2.7166,                 1.6463,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.3304,                 2.4588,                 1.8562,                0.19495,                0.25154,                0.21709,                 0.0921,                 2.1403,                 2.3435,                  1.652,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.2838,                 2.4436,                 1.7831,                0.20926,                0.30167,                0.22901,                0.08844,                 2.1234,                 2.3191,                 1.6586,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.2842,                 2.3672,                 1.8028,                0.21409,                0.28477,                0.20324,                0.08687,                 2.0802,                 2.2916,                 1.6292,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.2474,                   2.37,                 1.7537,                0.22469,                0.31731,                0.23599,                0.10314,                 2.0978,                 2.1389,                 1.6127,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.2364,                 2.2641,                 1.7417,                0.26073,                0.32962,                 0.2584,                0.10933,                 2.0718,                 2.1648,                 1.6107,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.1828,                 2.2916,                 1.7119,                0.21624,                0.30057,                0.22815,                0.10181,                  2.044,                 2.2481,                 1.6058,             0.00091302,             0.00091302,             0.00091302
                     21,                  2.226,                 2.3222,                 1.7443,                0.34885,                 0.2663,                0.18651,                0.08421,                 2.0314,                 2.5053,                 1.6545,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.1362,                 2.1911,                 1.6816,                0.33402,                0.33845,                0.27338,                0.11749,                 2.0221,                  2.052,                 1.5727,             0.00089102,             0.00089102,             0.00089102
                     23,                 2.1682,                 2.1706,                 1.7403,                0.32535,                0.37045,                0.27077,                0.12107,                 2.0346,                  2.237,                 1.6129,             0.00088002,             0.00088002,             0.00088002
                     24,                 2.1272,                 2.1414,                 1.7009,                0.30642,                0.39316,                   0.31,                0.13369,                 1.9597,                 1.9227,                 1.5721,             0.00086902,             0.00086902,             0.00086902
                     25,                 2.1536,                 2.1866,                 1.6982,                0.24301,                0.32415,                0.27758,                0.11771,                 1.9928,                 2.0687,                   1.57,             0.00085803,             0.00085803,             0.00085803
                     26,                 2.1507,                 2.1475,                 1.7053,                0.38547,                0.37675,                0.32121,                0.13318,                 2.0054,                 2.0159,                 1.5857,             0.00084703,             0.00084703,             0.00084703
                     27,                 2.1466,                 2.1672,                 1.7252,                0.25904,                0.29454,                0.26862,                0.12425,                  1.977,                 1.9997,                 1.5579,             0.00083603,             0.00083603,             0.00083603
                     28,                 2.0756,                 2.1105,                 1.6422,                0.32987,                 0.3665,                0.28759,                 0.1227,                 2.0234,                 1.9193,                 1.5773,             0.00082503,             0.00082503,             0.00082503
                     29,                 2.0887,                 2.1052,                 1.6562,                0.35977,                0.42206,                0.32281,                 0.1446,                 1.9622,                 1.9949,                 1.5433,             0.00081403,             0.00081403,             0.00081403
                     30,                 2.0763,                 2.0669,                 1.6551,                0.32345,                0.35095,                0.35054,                0.16019,                 1.9553,                 1.8112,                 1.5105,             0.00080303,             0.00080303,             0.00080303
                     31,                 2.0397,                 2.0306,                  1.607,                0.38102,                0.40485,                0.35489,                0.15439,                   1.96,                 1.8939,                 1.5228,             0.00079203,             0.00079203,             0.00079203
                     32,                 2.0454,                 2.0105,                 1.6259,                0.33113,                0.33646,                0.31324,                0.13824,                 1.9154,                 1.9064,                  1.525,             0.00078103,             0.00078103,             0.00078103
                     33,                 2.0723,                 2.0835,                 1.6459,                0.33932,                0.30765,                0.34581,                 0.1563,                 1.8925,                 1.8006,                 1.5081,             0.00077003,             0.00077003,             0.00077003
                     34,                 2.0392,                  1.982,                 1.6129,                0.36027,                0.37631,                0.36221,                0.16476,                 1.9639,                 1.8114,                 1.5317,             0.00075904,             0.00075904,             0.00075904
                     35,                 2.0025,                 1.9673,                 1.6008,                0.48932,                0.47651,                0.40882,                0.20073,                 1.8709,                 2.0516,                 1.4695,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.0216,                 2.0296,                 1.6244,                0.33235,                0.42712,                0.39609,                 0.1884,                 1.8729,                 1.7873,                 1.4667,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.9902,                 1.9626,                 1.6013,                  0.448,                0.39071,                0.36155,                  0.166,                 1.9075,                 1.8708,                 1.4936,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.0022,                 1.8998,                 1.5749,                0.52611,                0.34031,                0.36851,                0.16876,                 1.9213,                 1.7587,                  1.521,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.9788,                 1.9216,                 1.5965,                0.27979,                0.48069,                0.39933,                0.19907,                  1.856,                 1.8451,                 1.4615,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.9511,                 1.9459,                 1.5933,                0.32251,                0.31377,                0.36545,                0.17326,                 1.8908,                 1.8033,                 1.4954,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.9836,                 1.9296,                 1.5986,                0.31666,                0.41688,                0.36615,                0.17289,                 1.8873,                 1.7825,                  1.487,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.9413,                 1.9169,                  1.591,                0.37426,                0.35816,                0.33944,                0.15913,                 1.8375,                 1.8645,                 1.4697,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.9133,                 1.8447,                 1.5346,                0.33962,                0.42972,                0.35994,                0.17424,                 1.8799,                 1.7672,                 1.4662,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.9921,                 1.8999,                 1.5813,                0.43453,                 0.4426,                0.40004,                0.18587,                 1.8569,                 1.7693,                 1.4597,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.9554,                 1.8485,                 1.5172,                0.33248,                 0.3736,                0.34436,                0.17312,                 1.8516,                 1.7552,                 1.4827,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.9304,                 1.9072,                 1.5663,                0.34129,                0.42652,                0.39157,                0.19679,                 1.7975,                 1.6997,                 1.4279,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.9172,                 1.8061,                 1.5117,                0.46188,                0.46326,                0.44066,                0.22586,                 1.8513,                 1.6866,                 1.4479,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.9189,                 1.8279,                  1.519,                0.42761,                0.43651,                 0.4226,                0.21412,                 1.8065,                 1.6609,                   1.43,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.9145,                 1.8061,                  1.516,                0.40081,                0.39337,                0.40753,                0.19986,                  1.822,                 1.6825,                 1.4381,             0.00059405,             0.00059405,             0.00059405
                     50,                  1.909,                 1.7763,                 1.5189,                0.45151,                0.45566,                0.42599,                0.21731,                 1.8275,                 1.7037,                 1.4511,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.8967,                 1.7878,                   1.52,                0.39291,                0.38941,                0.42272,                 0.2098,                 1.8575,                 1.6958,                 1.4705,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.9153,                 1.7944,                 1.5234,                0.44086,                0.47547,                0.41896,                0.19804,                 1.8239,                 1.6902,                 1.4067,             0.00056105,             0.00056105,             0.00056105
                     53,                  1.883,                 1.8004,                 1.5082,                0.36574,                0.42905,                0.39824,                0.19014,                 1.8206,                 1.6537,                 1.4006,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.8504,                  1.731,                 1.4875,                0.44564,                0.49127,                0.43662,                0.21277,                 1.8102,                 1.6538,                 1.4134,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.8567,                 1.7741,                 1.5107,                0.43936,                0.36692,                0.41924,                0.21335,                 1.8033,                 1.6057,                 1.4135,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.8642,                 1.7252,                 1.4951,                0.40312,                0.45466,                0.43297,                0.20897,                 1.8145,                 1.6123,                 1.4343,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.8749,                 1.8022,                 1.5007,                0.50312,                0.36734,                 0.4249,                0.20285,                 1.7792,                 1.6543,                 1.3952,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.8746,                 1.7921,                  1.479,                0.43508,                0.43045,                0.43151,                0.21528,                 1.8311,                    1.6,                 1.4283,             0.00049506,             0.00049506,             0.00049506
                     59,                  1.823,                 1.7071,                 1.4614,                0.47638,                0.37988,                0.45966,                0.23539,                 1.8323,                 1.6134,                 1.4219,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.8524,                 1.7207,                 1.5011,                0.35683,                0.54094,                 0.4337,                0.21178,                 1.8153,                 1.6294,                 1.4123,             0.00047306,             0.00047306,             0.00047306
                     61,                  1.864,                 1.6949,                 1.4978,                0.48049,                0.55358,                 0.4432,                0.21901,                 1.7711,                 1.5877,                 1.3879,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.8011,                 1.7046,                 1.4554,                0.40274,                0.55995,                0.45976,                0.23869,                 1.7823,                 1.6203,                 1.4098,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.8423,                 1.6867,                 1.4828,                0.51465,                0.40328,                0.43984,                0.21693,                 1.7844,                 1.5824,                  1.403,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.8693,                 1.6906,                 1.4655,                0.37853,                0.55515,                0.46177,                0.23788,                 1.7504,                 1.5488,                 1.3801,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.8038,                 1.6717,                 1.4269,                0.49295,                0.48397,                0.46806,                0.24276,                 1.8154,                 1.5735,                 1.4218,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.8157,                 1.6748,                 1.4588,                0.54469,                0.43157,                0.45284,                0.22293,                  1.799,                 1.5639,                 1.4227,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.8356,                 1.6594,                 1.4853,                0.46482,                0.45386,                0.47623,                0.24144,                 1.7954,                 1.5307,                  1.422,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.8092,                 1.6401,                 1.4587,                0.47969,                0.52872,                0.45935,                0.23492,                 1.7773,                 1.5834,                 1.4201,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.8096,                 1.6233,                 1.4419,                0.39736,                0.56565,                 0.4453,                 0.2267,                 1.7592,                  1.564,                 1.3875,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.8077,                  1.627,                 1.4577,                0.44908,                0.37595,                0.42932,                0.21328,                  1.793,                 1.6661,                 1.4141,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.7873,                 1.6097,                 1.4294,                0.45729,                0.47875,                0.44314,                0.22539,                  1.768,                  1.574,                  1.377,             0.00035208,             0.00035208,             0.00035208
                     72,                  1.814,                 1.6392,                 1.4364,                 0.4741,                0.55645,                0.49821,                0.25475,                 1.7673,                 1.5366,                 1.3973,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.7711,                 1.6282,                 1.4262,                0.43933,                0.55897,                 0.4787,                0.24752,                 1.7412,                 1.5675,                  1.373,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.7602,                 1.6045,                  1.427,                0.45269,                0.52028,                0.42888,                0.21274,                 1.7873,                 1.5573,                 1.3981,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.7722,                 1.6206,                 1.4148,                0.49835,                0.59645,                0.49439,                0.25485,                 1.7732,                 1.5395,                 1.3926,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.7809,                 1.6087,                   1.41,                0.39248,                0.46737,                0.42192,                0.21465,                 1.7925,                 1.5897,                 1.4097,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.7723,                 1.6508,                 1.4358,                0.47317,                0.48867,                0.42682,                0.22373,                 1.7161,                 1.5604,                 1.3565,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.7965,                 1.6419,                 1.4339,                0.46905,                0.52156,                0.47599,                0.23283,                 1.7475,                 1.4961,                 1.3826,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.8073,                 1.6175,                 1.4352,                0.40239,                0.55824,                 0.4657,                 0.2418,                 1.7327,                 1.5688,                 1.3864,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.7463,                 1.5912,                 1.4259,                0.45265,                0.59006,                0.48629,                0.25062,                 1.7072,                 1.4988,                 1.3725,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.7583,                 1.5956,                 1.4196,                 0.4371,                0.53113,                0.46161,                0.23731,                 1.7188,                 1.5541,                 1.3685,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.7423,                 1.5494,                  1.412,                0.48503,                0.51819,                 0.4683,                0.23995,                 1.7012,                 1.4732,                 1.3526,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.7451,                 1.5587,                 1.4041,                0.50124,                0.50958,                 0.4723,                0.24646,                 1.7123,                 1.4881,                 1.3492,             0.00022009,             0.00022009,             0.00022009
                     84,                  1.739,                 1.5656,                 1.3995,                0.51923,                0.53446,                0.45989,                0.23676,                 1.7411,                 1.4937,                 1.3849,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.7367,                 1.5251,                 1.4058,                 0.4728,                0.53339,                 0.4547,                 0.2384,                 1.7339,                 1.5422,                 1.3771,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.7219,                 1.5364,                 1.4259,                0.43465,                0.59301,                0.45655,                 0.2361,                 1.7373,                 1.5315,                  1.379,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.7218,                 1.5204,                 1.3817,                0.48606,                0.53869,                 0.4703,                0.24335,                 1.7348,                 1.5861,                 1.3717,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.7031,                 1.5304,                 1.4059,                0.43644,                0.48382,                0.46703,                0.24898,                 1.7327,                 1.5076,                 1.3905,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.7163,                 1.5215,                 1.3752,                0.51948,                  0.562,                0.50428,                0.25967,                 1.7788,                  1.591,                 1.4122,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.7112,                 1.5288,                 1.3998,                0.47386,                0.55714,                0.48636,                0.24407,                 1.7363,                 1.5125,                 1.3867,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.6841,                 1.5444,                 1.4083,                0.45471,                0.51963,                0.49882,                0.24619,                 1.7678,                 1.5152,                 1.3993,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.6391,                 1.4897,                 1.3827,                0.40693,                  0.595,                0.47106,                0.23666,                  1.771,                 1.4978,                 1.4262,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.6489,                 1.4813,                 1.3958,                0.44549,                0.49299,                0.45087,                0.22614,                 1.7702,                 1.5298,                 1.4113,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.6482,                 1.4644,                 1.3971,                0.44767,                0.49065,                0.43498,                0.22467,                 1.7816,                 1.5151,                 1.4191,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.6615,                 1.4823,                 1.3936,                0.49833,                 0.4846,                0.46066,                0.23406,                 1.7608,                 1.5238,                 1.4087,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.6578,                 1.4644,                 1.3941,                0.41614,                0.47802,                 0.4591,                0.23737,                 1.7643,                 1.4882,                 1.4092,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.6349,                 1.4365,                 1.3734,                0.43946,                0.49399,                0.45072,                0.23667,                  1.766,                 1.4859,                 1.4139,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.6311,                 1.4508,                 1.3824,                0.51412,                 0.5186,                0.46909,                0.24603,                  1.762,                 1.4837,                 1.4112,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.6508,                 1.4557,                 1.3942,                0.48601,                0.53034,                0.46124,                0.23571,                 1.7674,                 1.4849,                 1.4075,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.6328,                 1.4241,                 1.3651,                0.53056,                0.52429,                0.47864,                0.24763,                 1.7663,                 1.4763,                 1.4055,             3.3108e-05,             3.3108e-05,             3.3108e-05
