                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3448,                 8.9058,                 4.0923,                      0,                      0,                      0,                      0,                 4.0585,                  11.55,                 4.1046,             0.00036481,             0.00036481,             0.00036481
                      2,                  3.773,                 7.5633,                 3.4732,                      0,                      0,                      0,                      0,                  4.206,                 11.818,                 4.2625,             0.00072058,             0.00072058,             0.00072058
                      3,                 3.2125,                 6.1778,                 2.7885,                  0.351,                0.03359,                 0.0132,                0.00429,                 2.9084,                 17.028,                 2.4521,              0.0010617,              0.0010617,              0.0010617
                      4,                 3.0299,                 5.5112,                 2.4873,                0.49446,                0.05306,                0.02663,                0.00722,                 2.7353,                 11.294,                 2.2252,               0.001045,               0.001045,               0.001045
                      5,                 2.8811,                 4.5785,                 2.3125,                0.39334,                0.10467,                0.05764,                0.02291,                 2.6138,                 7.5484,                  2.191,               0.001045,               0.001045,               0.001045
                      6,                 2.8106,                 4.2373,                 2.1882,                0.42602,                0.16573,                0.06303,                 0.0199,                 2.4979,                 7.2354,                 2.0824,               0.001023,               0.001023,               0.001023
                      7,                 2.7087,                 3.7563,                 2.0955,                0.43295,                0.12077,                0.09179,                0.03927,                 2.4827,                 4.9161,                 2.0752,               0.001001,               0.001001,               0.001001
                      8,                 2.6352,                 3.3066,                 2.0794,                0.18477,                0.34928,                0.13544,                0.05513,                 2.4073,                  5.086,                 1.9586,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.5448,                 3.2072,                 2.0226,                0.44612,                0.16212,                0.14678,                0.06581,                 2.2964,                 4.0029,                  1.919,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.5127,                 3.0702,                 1.9677,                0.48938,                0.18658,                0.13827,                0.05805,                 2.3385,                 4.5757,                 1.8966,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.4937,                 2.8801,                 1.9365,                0.29559,                0.34612,                0.19743,                0.08537,                 2.2763,                 3.6715,                 1.8502,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.4669,                 2.7789,                  1.917,                 0.3041,                0.20991,                0.20069,                0.09567,                 2.2073,                 3.3588,                 1.8401,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.4007,                 2.6871,                 1.8664,                0.24533,                0.27769,                0.20144,                0.07885,                 2.2678,                  3.315,                 1.8524,             0.00086902,             0.00086902,             0.00086902
                     14,                 2.3464,                 2.6125,                  1.805,                0.22881,                0.35412,                0.18926,                0.08486,                 2.1408,                 3.2483,                 1.7532,             0.00084703,             0.00084703,             0.00084703
                     15,                  2.333,                 2.5607,                 1.8483,                0.27151,                0.40435,                0.24561,                0.09154,                 2.1569,                 3.3798,                 1.7898,             0.00082503,             0.00082503,             0.00082503
                     16,                 2.2854,                  2.452,                 1.7624,                0.38623,                0.33955,                0.28984,                0.12313,                  2.096,                 2.9877,                 1.7327,             0.00080303,             0.00080303,             0.00080303
                     17,                 2.2936,                  2.395,                 1.7883,                0.33113,                0.34334,                0.29366,                 0.1226,                 2.1956,                 2.8454,                 1.7771,             0.00078103,             0.00078103,             0.00078103
                     18,                 2.2737,                 2.4796,                 1.7819,                0.42037,                0.30753,                0.28732,                0.13103,                 2.2652,                 2.9097,                 1.8352,             0.00075904,             0.00075904,             0.00075904
                     19,                  2.225,                 2.3314,                 1.7322,                0.41872,                 0.3965,                0.33535,                0.15258,                 2.0507,                 2.8262,                 1.7165,             0.00073704,             0.00073704,             0.00073704
                     20,                 2.1968,                 2.3195,                 1.7185,                0.39019,                0.44392,                 0.3584,                0.17017,                 2.1248,                 2.6989,                 1.7166,             0.00071504,             0.00071504,             0.00071504
                     21,                 2.2153,                 2.3325,                  1.725,                0.43246,                0.37264,                0.37085,                 0.1631,                 2.0613,                 2.7669,                 1.7639,             0.00069304,             0.00069304,             0.00069304
                     22,                 2.1495,                 2.2839,                 1.6755,                0.42391,                0.33212,                0.34782,                0.16301,                 2.0637,                 2.6277,                 1.6932,             0.00067104,             0.00067104,             0.00067104
                     23,                 2.1854,                 2.2375,                 1.7329,                0.35056,                0.41448,                0.36499,                0.18005,                 2.0483,                 2.4792,                 1.7097,             0.00064905,             0.00064905,             0.00064905
                     24,                 2.1397,                 2.1942,                 1.6781,                0.42241,                0.41895,                0.37869,                0.16112,                 2.0659,                  3.239,                 1.7014,             0.00062705,             0.00062705,             0.00062705
                     25,                 2.1326,                 2.2475,                 1.6993,                0.29189,                0.37909,                 0.3463,                0.15549,                  2.017,                 2.5129,                 1.7027,             0.00060505,             0.00060505,             0.00060505
                     26,                 2.1576,                 2.1794,                 1.7019,                0.38995,                0.42076,                0.35314,                0.14917,                  1.957,                 2.3963,                 1.6838,             0.00058305,             0.00058305,             0.00058305
                     27,                  2.128,                 2.1748,                 1.6996,                0.43667,                0.48094,                0.38687,                0.18197,                 2.0614,                  2.638,                 1.7262,             0.00056105,             0.00056105,             0.00056105
                     28,                 2.0602,                 2.1557,                 1.6472,                0.39061,                0.38777,                0.39034,                0.18893,                 2.0151,                 2.6485,                 1.6377,             0.00053906,             0.00053906,             0.00053906
                     29,                 2.0781,                 2.1361,                  1.641,                0.36007,                0.45425,                0.35881,                0.19515,                 2.0176,                 2.4659,                 1.6717,             0.00051706,             0.00051706,             0.00051706
                     30,                 2.0758,                 2.1238,                 1.6559,                0.44691,                0.43994,                0.43401,                0.18558,                 1.9321,                 2.2644,                  1.618,             0.00049506,             0.00049506,             0.00049506
                     31,                 2.0474,                 2.0766,                 1.6084,                0.50773,                 0.3527,                0.42035,                0.19786,                 1.9699,                 2.5371,                 1.6554,             0.00047306,             0.00047306,             0.00047306
                     32,                 2.0578,                 2.0553,                 1.6349,                0.56409,                0.45107,                0.45584,                0.22542,                 1.9707,                 2.3537,                 1.6457,             0.00045107,             0.00045107,             0.00045107
                     33,                 2.0637,                 2.0828,                 1.6367,                0.49817,                0.49578,                0.45721,                0.22092,                 1.9511,                 2.2002,                 1.6291,             0.00042907,             0.00042907,             0.00042907
                     34,                  2.029,                 2.0149,                 1.6024,                 0.5135,                0.40241,                0.43611,                0.20055,                 2.0143,                 2.4336,                 1.6892,             0.00040707,             0.00040707,             0.00040707
                     35,                 2.0023,                 2.0468,                 1.6028,                 0.4872,                0.44211,                0.41126,                0.20635,                 1.9429,                 2.3337,                 1.6255,             0.00038507,             0.00038507,             0.00038507
                     36,                 2.0064,                 2.0678,                 1.6196,                0.48805,                0.42217,                0.44978,                0.21646,                 1.9923,                 2.3354,                 1.6731,             0.00036307,             0.00036307,             0.00036307
                     37,                 2.0062,                 1.9915,                 1.6012,                0.56175,                0.42643,                 0.4503,                0.23819,                 1.9507,                 2.3002,                 1.6234,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.9976,                 1.9159,                 1.5793,                0.46035,                0.51036,                0.44528,                0.22381,                 1.9711,                 2.2446,                 1.6326,             0.00031908,             0.00031908,             0.00031908
                     39,                   1.97,                 1.9661,                 1.5876,                0.53901,                0.37463,                0.43138,                0.21742,                 1.9396,                 2.1006,                 1.6161,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.9546,                  1.955,                 1.5972,                0.47015,                0.37365,                0.43653,                0.21866,                 1.9295,                 2.2566,                 1.6373,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.9621,                 1.9964,                 1.5805,                0.53988,                0.45575,                0.46366,                 0.2249,                 1.9655,                  2.263,                 1.6239,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.9232,                 1.9465,                 1.5686,                0.52706,                0.51086,                0.48719,                 0.2394,                 1.9323,                 2.1648,                 1.6008,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.8939,                 1.9032,                 1.5695,                0.57819,                0.44926,                0.48099,                  0.238,                 1.9237,                 2.2325,                 1.6105,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.8994,                 1.8864,                 1.5544,                0.64923,                0.41351,                0.48956,                0.24668,                 1.9405,                  2.206,                 1.6085,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.8925,                   1.86,                 1.5475,                0.54222,                0.43248,                0.48205,                0.22259,                  1.941,                 2.1748,                 1.6098,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.8594,                 1.8503,                 1.5438,                0.50354,                0.48994,                0.48764,                0.25096,                 1.9172,                 2.1199,                 1.6064,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.8582,                 1.8419,                 1.5315,                0.57623,                0.44567,                0.49483,                 0.2425,                 1.8585,                 2.0934,                 1.5518,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.8777,                 1.8135,                 1.5329,                0.56498,                0.44668,                0.48952,                0.23928,                 1.9051,                 2.0977,                 1.5816,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 1.8735,                 1.8416,                 1.5458,                0.57056,                 0.4441,                 0.4978,                0.24838,                 1.8889,                 2.0885,                 1.5835,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 1.8381,                 1.7728,                 1.5265,                0.71122,                 0.3825,                0.49671,                0.25368,                 1.9231,                 2.1263,                 1.5914,             5.5106e-05,             5.5106e-05,             5.5106e-05
