                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3448,                 8.9058,                 4.0923,                      0,                      0,                      0,                      0,                 4.2745,                 11.195,                 4.1058,             0.00036481,             0.00036481,             0.00036481
                      2,                 3.7828,                 7.5887,                 3.4806,                      0,                      0,                      0,                      0,                 4.2643,                 11.511,                 4.1481,             0.00072786,             0.00072786,             0.00072786
                      3,                 3.2183,                 6.1132,                 2.7589,                0.43135,                0.09797,                0.01677,                0.00431,                 3.1437,                 19.142,                 2.5459,              0.0010836,              0.0010836,              0.0010836
                      4,                 3.0053,                 5.4796,                  2.503,                0.37282,                0.16182,                0.02604,                0.00888,                 2.6787,                 6.9687,                  2.113,               0.001078,               0.001078,               0.001078
                      5,                 2.8792,                 4.5847,                 2.3368,                0.40179,                0.10558,                0.04413,                0.01356,                 2.5687,                 5.0298,                 2.0878,               0.001078,               0.001078,               0.001078
                      6,                 2.8258,                 4.1775,                 2.1778,                0.49963,                0.15451,                0.09609,                 0.0298,                 2.6124,                 4.2335,                 2.0152,               0.001067,               0.001067,               0.001067
                      7,                 2.7442,                 3.7335,                 2.1136,                0.47281,                0.16093,                0.08982,                0.03034,                 2.4808,                 4.3083,                 1.8864,               0.001056,               0.001056,               0.001056
                      8,                 2.5946,                 3.3252,                 2.0353,                0.15497,                 0.2145,                0.13544,                0.04849,                  2.331,                 3.3696,                 1.7315,               0.001045,               0.001045,               0.001045
                      9,                 2.5525,                 3.2165,                 2.0219,                0.54883,                0.19744,                0.16678,                  0.065,                 2.3225,                 3.1385,                 1.7574,               0.001034,               0.001034,               0.001034
                     10,                 2.5327,                 3.0489,                 1.9881,                0.51303,                0.19437,                0.14602,                0.05805,                 2.3386,                 2.9331,                 1.7531,               0.001023,               0.001023,               0.001023
                     11,                 2.4883,                 2.8801,                 1.9205,                 0.5565,                0.16385,                 0.1607,                0.06633,                 2.2527,                 2.6741,                 1.6743,               0.001012,               0.001012,               0.001012
                     12,                 2.4803,                 2.8022,                 1.9036,                0.55111,                0.18425,                0.15701,                0.06344,                 2.2912,                 2.7476,                  1.733,               0.001001,               0.001001,               0.001001
                     13,                 2.4022,                 2.6973,                  1.857,                0.33887,                0.26468,                0.19337,                0.08119,                 2.1701,                 2.7026,                 1.7064,             0.00099001,             0.00099001,             0.00099001
