                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5825,                 22.697,                 3.9915,                      0,                      0,                      0,                      0,                 5.7342,                 20.338,                 3.7542,             0.00036481,             0.00036481,             0.00036481
                      2,                 4.8628,                 11.819,                 3.3026,                      0,                      0,                      0,                      0,                 5.2171,                 25.381,                 3.5604,             0.00072058,             0.00072058,             0.00072058
                      3,                 4.0131,                 7.3021,                 2.5929,                0.67796,                0.01809,                0.00442,                0.00093,                 3.5412,                 13.039,                 2.5233,              0.0010617,              0.0010617,              0.0010617
                      4,                   3.58,                 6.7455,                 2.3399,                0.02262,                0.05168,                0.01127,                0.00283,                 3.2691,                 20.529,                 2.1621,               0.001045,               0.001045,               0.001045
                      5,                 3.2616,                  5.334,                 2.0776,                0.68686,                0.03359,                0.00709,                0.00219,                 3.1158,                 12.682,                 2.0777,               0.001045,               0.001045,               0.001045
                      6,                 3.1786,                 4.8323,                 1.9835,                0.38799,                0.07019,                0.04475,                0.01275,                 2.7772,                 6.8005,                 1.8821,               0.001023,               0.001023,               0.001023
                      7,                 3.0627,                 4.2599,                 1.8762,                0.47059,                0.16038,                0.04945,                0.01623,                 2.8554,                 6.3407,                 1.8435,               0.001001,               0.001001,               0.001001
                      8,                 2.9636,                 3.7089,                 1.8083,                0.47315,                0.11805,                0.07758,                0.02284,                 2.8817,                 5.4194,                 1.8756,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.9282,                 3.6258,                 1.8168,                0.49206,                0.09794,                0.11572,                0.03839,                 2.8142,                 5.0025,                 1.7862,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.9058,                 3.4902,                 1.7505,                0.55524,                0.12895,                0.13283,                0.04246,                 2.6901,                 4.3346,                  1.738,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.8438,                 3.1264,                 1.7276,                  0.478,                 0.0933,                0.10878,                0.03294,                 2.7826,                 4.5772,                 1.8011,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.8204,                 3.0444,                 1.6538,                0.47408,                0.10587,                0.09768,                0.03291,                 2.6522,                 3.6982,                 1.6873,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.7747,                 2.9267,                 1.6417,                0.21535,                0.27304,                0.14548,                0.04141,                 2.6892,                 3.9429,                 1.7096,             0.00086902,             0.00086902,             0.00086902
                     14,                  2.706,                 2.8194,                 1.6516,                0.43209,                0.23981,                0.22293,                0.06081,                 2.6525,                 3.4561,                   1.68,             0.00084703,             0.00084703,             0.00084703
