                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5825,                 22.697,                 3.9915,                      0,                      0,                      0,                      0,                 5.9343,                 26.229,                 3.7379,             0.00036481,             0.00036481,             0.00036481
                      2,                 4.8876,                 11.845,                 3.3054,                      0,                      0,                      0,                      0,                 5.4625,                 27.089,                 3.4458,             0.00072786,             0.00072786,             0.00072786
                      3,                 4.0683,                 7.3598,                 2.5981,                0.01123,                0.00939,                0.00375,                0.00096,                 3.7012,                 11.249,                 2.3607,              0.0010836,              0.0010836,              0.0010836
                      4,                 3.5749,                 6.5873,                 2.3688,                0.67407,                0.08216,                0.00509,                0.00148,                 3.2685,                  11.01,                 2.1827,               0.001078,               0.001078,               0.001078
                      5,                 3.2629,                 5.3061,                 2.0715,                0.36831,                0.04596,                0.00818,                0.00195,                 3.1815,                 7.7433,                 1.9397,               0.001078,               0.001078,               0.001078
                      6,                 3.1832,                 4.6645,                 1.9933,                0.46299,                0.08795,                0.04615,                0.01339,                 3.2809,                 5.7693,                 1.8595,               0.001067,               0.001067,               0.001067
                      7,                 3.0772,                 4.1188,                 1.8718,                0.42319,                0.12118,                0.04831,                0.01309,                 3.0136,                 4.6989,                 1.6958,               0.001056,               0.001056,               0.001056
                      8,                 2.9652,                 3.5944,                 1.8144,                0.52224,                0.09925,                0.08596,                0.02618,                 2.9406,                 4.1981,                 1.6584,               0.001045,               0.001045,               0.001045
                      9,                 2.9078,                 3.4545,                 1.7929,                0.48893,                0.12327,                0.08569,                0.02848,                 2.7665,                 3.7619,                 1.5848,               0.001034,               0.001034,               0.001034
                     10,                 2.8618,                  3.313,                 1.7496,                0.47584,                 0.1156,                0.08376,                 0.0245,                 2.7461,                 3.5718,                 1.5797,               0.001023,               0.001023,               0.001023
                     11,                 2.8018,                  3.027,                 1.7141,                0.49746,                0.20467,                0.12276,                0.03589,                 2.8987,                 3.5993,                 1.6617,               0.001012,               0.001012,               0.001012
                     12,                 2.7931,                 2.9197,                  1.661,                0.47807,                0.12572,                0.09583,                0.03125,                 2.7119,                 3.2528,                 1.5805,               0.001001,               0.001001,               0.001001
                     13,                 2.7545,                 2.8324,                 1.6571,                0.23802,                0.17032,                0.13916,                 0.0415,                 2.7142,                 2.9529,                 1.5623,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.7278,                 2.7223,                  1.667,                0.21314,                0.25287,                 0.1753,                0.05499,                 2.5957,                 2.8635,                 1.4884,             0.00097901,             0.00097901,             0.00097901
                     15,                  2.632,                 2.5828,                 1.6401,                0.21523,                0.27052,                0.16039,                0.05212,                 2.5753,                 2.6696,                  1.505,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.6206,                 2.5837,                 1.5888,                0.17078,                0.25798,                  0.195,                 0.0669,                 2.5011,                 2.5722,                 1.4473,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.6233,                 2.4612,                 1.5831,                0.52103,                0.25143,                0.22417,                 0.0773,                 2.4165,                 2.5544,                 1.4432,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.6011,                 2.5142,                 1.5917,                0.32252,                 0.1978,                0.14245,                0.04491,                  2.626,                 2.7965,                 1.5133,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.5865,                 2.3793,                 1.5595,                0.28165,                0.39299,                0.22722,                0.07983,                 2.4354,                 2.4619,                 1.4515,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.5431,                 2.3641,                 1.5609,                0.33998,                0.31902,                0.21643,                0.06957,                 2.4585,                 2.4164,                 1.4396,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.5057,                 2.3731,                  1.547,                0.32751,                0.28215,                0.22005,                0.07411,                 2.4301,                 2.4145,                 1.4436,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.4925,                 2.2853,                 1.5349,                0.34161,                0.33884,                0.25348,                0.09343,                  2.458,                 2.3585,                 1.4733,             0.00089102,             0.00089102,             0.00089102
                     23,                 2.5178,                 2.2214,                 1.5539,                0.36769,                0.34584,                0.27654,                0.10328,                 2.3849,                 2.2378,                 1.4532,             0.00088002,             0.00088002,             0.00088002
                     24,                 2.4612,                    2.2,                 1.5337,                0.37008,                0.39911,                 0.2793,                0.11651,                  2.294,                 2.1993,                 1.4255,             0.00086902,             0.00086902,             0.00086902
                     25,                 2.4554,                 2.2068,                 1.5183,                0.48102,                0.37714,                0.33319,                0.12997,                 2.3487,                 2.1683,                 1.3905,             0.00085803,             0.00085803,             0.00085803
                     26,                 2.4573,                 2.1553,                 1.5236,                0.47508,                 0.3232,                0.31289,                0.11024,                 2.3393,                 2.1237,                 1.4389,             0.00084703,             0.00084703,             0.00084703
                     27,                 2.4641,                 2.1713,                 1.5469,                0.36608,                0.42618,                0.28596,                0.11737,                 2.4234,                 2.0963,                 1.4147,             0.00083603,             0.00083603,             0.00083603
                     28,                 2.3907,                 2.1378,                 1.4944,                0.30398,                0.36107,                0.23416,                0.08694,                 2.2927,                 2.0853,                 1.3754,             0.00082503,             0.00082503,             0.00082503
                     29,                 2.4055,                 2.1308,                 1.4982,                0.42977,                0.36316,                0.29425,                0.11555,                 2.3023,                 2.1048,                 1.3712,             0.00081403,             0.00081403,             0.00081403
                     30,                 2.3933,                 2.0787,                 1.5005,                0.45033,                0.35137,                0.30554,                0.14066,                 2.2887,                 2.1031,                 1.3729,             0.00080303,             0.00080303,             0.00080303
                     31,                 2.3653,                 2.0715,                 1.4722,                0.37721,                0.34882,                0.27617,                0.11434,                 2.2491,                 2.0613,                 1.3658,             0.00079203,             0.00079203,             0.00079203
                     32,                  2.356,                 2.0336,                 1.4835,                0.37561,                0.39665,                0.31345,                0.11875,                 2.2691,                 1.9974,                 1.3578,             0.00078103,             0.00078103,             0.00078103
                     33,                 2.3775,                 2.0991,                 1.4858,                0.35907,                0.37892,                 0.3147,                0.14146,                 2.1964,                  1.963,                 1.3423,             0.00077003,             0.00077003,             0.00077003
                     34,                 2.3143,                 2.0043,                 1.4631,                 0.5214,                0.36133,                0.32707,                0.14307,                 2.2255,                 1.9595,                 1.3641,             0.00075904,             0.00075904,             0.00075904
                     35,                 2.2834,                 2.0014,                 1.4323,                0.47982,                0.34338,                0.32245,                0.14743,                 2.2786,                 1.9689,                 1.3648,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.3287,                 2.0148,                 1.4592,                0.42817,                0.35979,                0.35198,                0.15799,                 2.2465,                 2.0179,                 1.3823,             0.00073704,             0.00073704,             0.00073704
                     37,                 2.2721,                 1.9725,                 1.4339,                0.49289,                0.30302,                0.32218,                0.14296,                 2.1705,                 1.9573,                 1.3324,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.3274,                 1.9223,                 1.4527,                0.50841,                0.33061,                0.33099,                0.15546,                 2.1565,                 2.0025,                 1.3303,             0.00071504,             0.00071504,             0.00071504
                     39,                 2.2347,                 1.9178,                 1.4263,                0.46545,                0.34086,                0.29295,                0.12711,                 2.2294,                 2.0181,                 1.3695,             0.00070404,             0.00070404,             0.00070404
                     40,                 2.2359,                 1.9283,                 1.4585,                0.46245,                0.34758,                0.31576,                0.15388,                 2.2025,                 2.1033,                  1.367,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.3191,                 1.9118,                 1.4787,                0.57603,                0.37714,                 0.3501,                0.17613,                 2.1984,                 1.8731,                 1.3302,             0.00068204,             0.00068204,             0.00068204
                     42,                 2.2486,                 1.8801,                 1.4196,                0.38288,                0.35774,                0.32812,                0.15262,                 2.1577,                 1.9339,                  1.339,             0.00067104,             0.00067104,             0.00067104
                     43,                 2.2174,                 1.8435,                 1.3975,                0.43642,                0.34216,                0.33121,                0.14656,                 2.1939,                 1.9572,                 1.3539,             0.00066005,             0.00066005,             0.00066005
                     44,                  2.262,                 1.8907,                 1.4334,                0.53231,                0.42596,                0.37327,                0.16601,                 2.1198,                 1.8038,                 1.3223,             0.00064905,             0.00064905,             0.00064905
                     45,                 2.2184,                  1.836,                 1.3563,                 0.5655,                0.33348,                0.37411,                0.17015,                 2.1407,                 1.8579,                  1.319,             0.00063805,             0.00063805,             0.00063805
                     46,                 2.2704,                 1.9175,                 1.4442,                0.48394,                0.39306,                 0.3535,                0.15837,                 2.1712,                 1.8733,                 1.3415,             0.00062705,             0.00062705,             0.00062705
